text,AE
Graves' hyperthyroidism following transient thyrotoxicosis during interferon therapy for chronic hepatitis type C.,"[""Graves' hyperthyroidism"", 'transient thyrotoxicosis']"
"This case showed sequential manifestation from transient thyrotoxicosis to the appearance of TSH-receptor autoantibodies, and then the occurrence of Graves' hyperthyroidism during IFN therapy.","[""Graves' hyperthyroidism""]"
We report a case of Graves' hyperthyroidism induced by long-term interferon (IFN) therapy.,"[""Graves' hyperthyroidism"", ""Graves' hyperthyroidism""]"
"Acute INH neurotoxicity was not suspected on the first admission; however, when readmitted 4 weeks later with another seizure, the diagnosis of acute INH neurotoxicity was made.","['neurotoxicity', 'neurotoxicity']"
Acute isoniazid neurotoxicity in an urban hospital.,['neurotoxicity']
CONCLUSIONS: We have seen an increased incidence of acute INH neurotoxicity because of the resurgence of TB in New York City.,['neurotoxicity']
"In patients with a known access to INH, seizures should be considered to be caused by INH toxicity unless proved otherwise.",['seizures']
OBJECTIVES: To describe the presentation and treatment of acute isoniazid (INH) neurotoxicity appearing at an inner-city municipal hospital.,"['neurotoxicity', 'neurotoxicity']"
"Parenteral pyridoxine, the specific antidote for INH-induced refractory seizures, should be readily available in every emergency department in the areas similarly experiencing increasing trends of TB.",['refractory seizures']
"RESULTS: At our institution, no children appeared with acute INH neurotoxicity in the period 1985 through 1990, whereas seven patients were treated from 1991 through 1993.",['neurotoxicity']
Arterial hypertension associated with topical ocular use of phenylephrine in dogs.,['Arterial hypertension']
CONCLUSION: Squamous metaplasia in these cases appears to be a consequence of progestin therapy.,['Squamous metaplasia']
OBJECTIVE: To report the finding of squamous metaplasia within endometrial glands occurring as a result of progestin therapy of hyperplasia.,['squamous metaplasia within endometrial glands']
RESULTS: Extensive squamous metaplasia was found in endometrial glands following progestin therapy.,['squamous metaplasia']
Fever caused by the use of furosemide was proved; the fever resolved after discontinuation of this medication and recurred after its reintroduction.,['Fever']
Furosemide-associated fever.,['fever']
The dose-limiting toxicity of KW-2149 is pulmonary toxicity.,['pulmonary toxicity']
"Musculoskeletal complaints were the presenting symptoms in four of 44 children (9%) treated for relapsed Wilms' tumors with ifosfamide, a derivative of cyclophosphamide.","['Musculoskeletal complaints', 'Musculoskeletal complaints']"
Recognition of a potential drug-induced Fanconi syndrome is important when managing pediatric oncology patients previously treated with ifosfamide.,['Fanconi syndrome']
"Our cases constitute the most severe cases of benzarone hepatotoxicity reported so far, and comprise the first cases of (sub)fulminant hepatitis and cirrhosis related to benzarone.","['cirrhosis', 'cirrhosis', 'hepatotoxicity', '(sub)fulminant hepatitis', '(sub)fulminant hepatitis']"
Severe hepatotoxicity related to benzarone: a report of three cases with two fatalities.,['Severe hepatotoxicity']
"We report three cases of severe hepatotoxicity related to benzarone, a benzofuran derivative.",['severe hepatotoxicity']
"We stress the potential of benzarone to cause hepatotoxicity, which usually resembles severe chronic active hepatitis.","['hepatotoxicity', 'severe chronic active hepatitis']"
Case study: a modified topical treatment regimen for sodium warfarin-induced necrotizing fasciitis.,['necrotizing fasciitis']
"This case study describes an atypical case of refractory, sodium warfarin-induced necrotizing fasciitis and myonecrosis.","['myonecrosis', 'necrotizing fasciitis']"
"Clinicians who manage cachectic patients, particularly those with protracted diarrhoea and/or receiving anti-malarial drugs including mefloquine, should be aware of the risk of severe hypoglycaemia.",['severe hypoglycaemia']
Mechanisms and triggering factors of hypoglycaemia induced by mefloquine and some other anti-malarial quinine analogues are discussed.,['hypoglycaemia']
Mefloquine-associated hypoglycaemia in a cachectic AIDS patient.,['hypoglycaemia']
"Quinine and its isomer quinidine are well-known causes of iatrogenic hypoglycaemia, due to excessive insulin secretion.","['iatrogenic hypoglycaemia', 'iatrogenic hypoglycaemia']"
"We report a case of hypoglycaemia after mefloquine therapy (1,500 mg over two days) for severe gastrointestinal cryptosporidiasis in a cachectic AIDS patient with protracted diarrhoea.",['hypoglycaemia']
"Because sumatriptan can cause coronary artery vasospasm, patients with significant risk factors for coronary artery disease should be carefully evaluated for cardiovascular disease prior to the use of sumatriptan.",['coronary artery vasospasm']
Cardiac arrest following use of sumatriptan.,['Cardiac arrest']
I report a 35-year-old woman with occult coronary artery disease who experienced cardiac arrest within minutes after receiving a first-time dose of subcutaneous sumatriptan for migraine.,['cardiac arrest']
Sotalol-induced bradycardia reversed by glucagon.,['bradycardia']
We present a case of sotalol-induced bradycardia reversed by glucagon.,['bradycardia']
Secretory endometrial adenocarcinoma in a patient on tamoxifen for breast cancer: a report of a case.,['Secretory endometrial adenocarcinoma']
This unusual pattern of low-grade endometrial carcinoma adds to the spectrum of uterine neoplasia associated with tamoxifen therapy.,"['low-grade endometrial carcinoma', 'uterine neoplasia']"
We believe that this is the first report of secretory carcinoma of the endometrium associated with tamoxifen use.,['secretory carcinoma of the endometrium']
Well-differentiated endometrial adenocarcinoma of the secretory type (FIGO Grade 1) with minimal myometrial invasion occurred in a postmenopausal patient on tamoxifen therapy 5 years after mastectomy for breast carcinoma.,['endometrial adenocarcinoma of the secretory type']
Esophageal candidiasis following omeprazole therapy: a report of two cases.,['Esophageal candidiasis']
Esophageal candidiasis was diagnosed at endoscopy in two patients receiving omeprazole therapy.,['Esophageal candidiasis']
High-grade atrioventricular block during dipyridamole stress testing.,['High-grade atrioventricular block']
We present a case in which dipyridamole induced high-grade atrioventricular (AV) block that responded promptly to intravenous aminophylline but not to atropine.,['high-grade atrioventricular (AV) block']
Aggressive management of doxorubicin-induced cardiomyopathy associated with 'low' doses of doxorubicin.,"['cardiomyopathy', 'cardiomyopathy']"
There is a dose-effect relationship between doxorubicin and the incidence of symptomatic cardiac failure.,['symptomatic cardiac failure']
Ovarian endometrioid carcinoma and endometriosis developing in a postmenopausal breast cancer patient during tamoxifen therapy: a case report and review of the literature.,"['endometriosis', 'Ovarian endometrioid carcinoma']"
The association with prolonged unopposed estrogen-like stimulation with tamoxifen as a possible factor in the development of ovarian endometrioid carcinoma is discussed.,['ovarian endometrioid carcinoma']
We present the first case of ovarian endometrioid carcinoma and endometriosis in a postmenopausal patient who was treated with tamoxifen for breast cancer.,"['endometriosis', 'ovarian endometrioid carcinoma']"
Cerebral demyelinating disease developed in a patient during adjuvant therapy with levamisole for malignant melanoma.,['Cerebral demyelinating disease']
Multifocal inflammatory leukoencephalopathy associated with levamisole therapy.,['Multifocal inflammatory leukoencephalopathy']
Observations in our patient suggest that the leukoencephalopathy that developed in previously reported patients who received 5-fluorouracil and levamisole may have been caused at least partly by levamisole.,"['leukoencephalopathy', 'leukoencephalopathy', 'leukoencephalopathy']"
A case of noncardiogenic pulmonary edema by ethanolamine oleate.,['noncardiogenic pulmonary edema']
"However, EO-induced noncardiogenic pulmonary edema has not been reported in human.",['noncardiogenic pulmonary edema']
We report a case of noncardiogenic pulmonary edema developed after therapeutic trial of EO as sclerosing agent for esophageal varix.,['noncardiogenic pulmonary edema']
A 15-year follow-up of phenytoin-induced unilateral gingival hyperplasia: a case report.,['unilateral gingival hyperplasia']
INTRODUCTION-The aim of this case report is to present a 15-year follow-up of a patient with phenytoin (PHT) intoxication with unilateral gingival hyperplasia (GH).,"['unilateral gingival hyperplasia', 'unilateral gingival hyperplasia']"
"We report a case of generalized cutaneous sclerosis associated with muscle and oesophageal involvement in a patient exposed to herbicides containing bromocil, diuron and aminotriazole.","['generalized cutaneous sclerosis', 'generalized cutaneous sclerosis', 'generalized cutaneous sclerosis']"
Albuterol-induced hypokalemia and its potential cardiac toxicity are discussed briefly.,"['cardiac toxicity', 'hypokalemia']"
Hypokalemia after normal doses of neubulized albuterol (salbutamol).,"['Hypokalemia', 'Hypokalemia']"
The cases of two asthmatic patients who became hypokalemic after inhalation of normal doses of albuterol are presented.,['hypokalemic']
Propoxyphene-induced wide QRS complex dysrhythmia responsive to sodium bicarbonate--a case report.,['wide QRS complex dysrhythmia']
Propoxyphene-induced wide complex dysrhythmia responsive to sodium bicarbonate therapy has not been previously reported in the literature.,['wide complex dysrhythmia']
Case report: mannitol nephrotoxicity syndrome: role of hemodialysis and postulate of mechanisms.,['nephrotoxicity syndrome']
Hemodialysis should be performed for rapid reversal of mannitol-induced ARF.,['ARF']
High-dose intravenous mannitol infusion in various clinical settings may result in acute renal failure (ARF).,"['acute renal failure', 'ARF']"
Mannitol-induced ARF responds promptly to hemodialysis with rapid resolution of anuria and recovery of renal failure.,['ARF']
The literature is also reviewed for ARF associated with mannitol infusion in patients who received dialysis and those who did not receive dialysis; and the possible mechanism(s) of mannitol nephrotoxicity are discussed.,"['ARF', 'nephrotoxicity']"
This is a report of a case of anuric ARF after high-dose mannitol infusion for treatment of narrow-angle glaucoma that readily responded to acute hemodialysis.,['anuric ARF']
Two patients with extrapyramidal side effects after the use of fluphenazine decanoate were evaluated by means of IBZM-SPECT.,['extrapyramidal side effects']
Flumazenil reversal of benzodiazepine-induced sedation for a patient with severe pre-ECT anxiety.,['sedation']
"CASE SUMMARY: A 68-year-old woman developed a dry, irritating cough within one month of starting quinapril therapy for the treatment of essential hypertension.",['irritating cough']
Cough induced by quinapril with resolution after changing to fosinopril.,['Cough']
"OBJECTIVE: To report a case of chronic, nonproductive cough secondary to the angiotensin-converting enzyme (ACE) inhibitor quinapril, with complete resolution after switching to another ACE inhibitor, fosinopril.",['cough']
The cough continued for the duration of therapy with quinapril.,['cough']
"We report a case of cough following the administration of quinapril, with complete resolution after changing to the alternative ACE inhibitor fosinopril in a patient with essential hypertension.",['cough']
"Fracture of the femoral neck occurred in one patient during PSL therapy, although the relationship between the fracture and PSL therapy was uncertain.",['Fracture of the femoral neck']
Cefuroxime-induced acute renal failure.,['acute renal failure']
"In our patient, DIAN possibly was related to cefuroxime, but the patient did not experience associated allergic symptoms.",['DIAN']
The diagnosis was supported by the temporal course of renal deterioration during exposure to cefuroxime and improvement on its discontinuation; the pattern repeated with rechallenge.,['renal deterioration']
This is the first reported case of suspected DIAN due to cefuroxime.,['DIAN']
A case of basilar invagination which is thought to have arisen from the patient's intrauterine exposure to phenytoin is presented.,['basilar invagination']
Basilar invagination and mid-line skeletal abnormalities due to in utero exposure to phenytoin.,"['Basilar invagination', 'mid-line skeletal abnormalities']"
His symptoms of brain stem compression were alleviated and the role of phenytoin in the production of his craniocervical abnormality is discussed.,['craniocervical abnormality']
Temporary neurologic abnormalities were observed in one out of 23 patients undergoing chemotherapy with high-dose methotrexate (HD-MTX) for osteogenic sarcoma.,['Temporary neurologic abnormalities']
"This patient developed sequential symptoms including alternative hemiparesis, dysarthria and altered consciousness 5 days after the second course of HD-MTX (8 gm/m2 by 6 h continuous infusion) with leucovorin rescue.","['altered consciousness', 'dysarthria', 'hemiparesis']"
Transient neurological disturbances induced by the chemotherapy of high-dose methotrexate for osteogenic sarcoma.,['Transient neurological disturbances']
"We report a 5-year-old boy with CF who had a stricture of the hepatic flexure region with associated narrowing due to submucosal fibrosis of the transverse colon, secondary to high-lipase pancreatin therapy.","['stricture of the hepatic flexure region with associated narrowing', 'submucosal fibrosis of the transverse colon']"
Acute pancreatitis associated with danazol treatment for endometriosis.,['Acute pancreatitis']
"Additionally, danazol produces hepatocellular damage in approximately 10% of women.",['hepatocellular damage']
Hypo-oestrogenic and anabolic/androgenic side-effects of danazol are well known by the gynaecologist and some of them are present in > 50% of patients being treated for endometriosis.,['Hypo-oestrogenic and anabolic/androgenic side-effects']
The present report describes the first case of acute pancreatitis associated with danazol treatment of endometriosis.,['acute pancreatitis']
Acyclovir neurotoxicity: clinical experience and review of the literature.,['neurotoxicity']
Acyclovir produces neurologic symptoms that resemble extension of viral infection into the central nervous system.,['neurologic symptoms']
"Systemic disease, most commonly renal dysfunction, preceded all 30 reported cases of acyclovir neurotoxicity.",['neurotoxicity']
We discuss our observations in the cases of two patients with acyclovir neurotoxicity and review the findings of all previous reports in the English language literature.,['neurotoxicity']
Response of a promethazine-induced coma to flumazenil.,['coma']
We report the first case of a patient in a promethazine-induced coma responding to treatment with flumazenil.,['coma']
Amebic abscess of the spleen complicated by metronidazole-induced neurotoxicity: case report.,"['Amebic abscess of the spleen', 'neurotoxicity']"
"We describe a patient with a liver abscess due to Entamoeba histolytica, in whom metronidazole therapy (total dose, 21 g over 14 days) was complicated by reversible deafness, tinnitus, and ataxia and who relapsed 5 months later with a splenic abscess.","['ataxia', 'liver abscess', 'reversible deafness', 'splenic abscess', 'tinnitus']"
Actinomycin D associated hepatic veno-occlusive disease--a report of 2 cases.,['hepatic veno-occlusive disease']
There are now reports of liver failure following treatment of childhood cancers with AMD.,['liver failure']
Phenylpropanolamine-induced psychosis.,['psychosis']
We report a cae of paranoid psychosis following use of a decongestant containing PPA and summarize the case report literature of psychiatric adverse effects to PPA in which doses were known and stated to be within recommended guidelines.,"['paranoid psychosis', 'psychiatric adverse effects']"
"CONCLUSIONS: Although budesonide may be beneficial because of its anti-inflammatory effects, clinicians should be alert to its potential for causing contact dermatitis.",['contact dermatitis']
Contact dermatitis due to budesonide: report of five cases and review of the Japanese literature.,['Contact dermatitis']
"METHODS: Five cases of contact dermatitis due to budesonide, a nonhalogenated steroid, are described.",['contact dermatitis']
RESULTS: Budesonide use can cause contact dermatitis.,['contact dermatitis']
"Although other nitrites induce methemoglobinemia, exposure to methyl nitrite during phenylpropanolamine production appears to be a new cause of occupational methemoglobinemia.","['methemoglobinemia', 'methemoglobinemia']"
Methemoglobinemia: an occupational hazard of phenylpropanolamine production.,['Methemoglobinemia']
During and after IFN therapy we should consider the possibility of occurrence of IDDM as well as other autoimmune diseases and observe the clinical course carefully.,['IDDM']
"Four years after the beginning of IFN therapy, he acutely developed moderate hyperglycemia and severe ketonuria with positive islet cell antibody, and then 28 units/day of insulin injection was started.","['moderate hyperglycemia', 'severe ketonuria']"
Occurrence of IDDM during interferon therapy for chronic viral hepatitis.,['IDDM']
We report a case of IDDM which occurred during interferon therapy for chronic hepatitis.,['IDDM']
Four patients who manifested symptoms of the antiepileptic drug (AED) hypersensitivity syndrome during therapy with carbamazepine are reported.,['hypersensitivity syndrome']
Recurrent hypotension immediately after seizures in nortriptyline overdose.,"['Recurrent hypotension', 'seizures']"
The use of methotrexate (MTX) has been contraindicated for treatment of severe psoriasis in HIV infection on the basis of six previously reported cases in which MTX appeared to potentiate opportunistic infections and accelerate HIV disease.,"['accelerate HIV disease', 'accelerate HIV disease', 'accelerate HIV disease']"
CONCLUSIONS: This case describes the clinically significant increase of INR in an elderly patient after adding a chemotherapy regimen of levamisole and 5-FU to a previous regimen of warfarin alone.,"['increase of INR', 'increase of INR', 'increase of INR']"
"However, prolongation of 5-FU half-life and an increase in INR have been reported with the concurrent use of 5-FU and warfarin.","['increase in INR', 'increase in INR']"
Cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole.,"['Cholestatic liver disease', 'Cholestatic liver disease', 'ductopenia', 'ductopenia', 'vanishing bile duct syndrome', 'vanishing bile duct syndrome']"
"One patient who received clindamycin had liver biopsy findings of marked cholestasis, portal inflammation, bile duct injury and bile duct paucity (ductopenia).","['bile duct injury', 'bile duct paucity', 'ductopenia', 'marked cholestasis', 'portal inflammation']"
"The second patient, who developed cholestasis after receiving trimethoprim-sulfamethoxazole, had marked duct paucity in the liver biopsy.","['cholestasis', 'duct paucity']"
"This is the first description, to our knowledge, of ductopenia apparently caused by clindamycin.",['ductopenia']
"Three years later, treatment with ampicillin caused another episode of cholestatic hepatitis with cholestasis and duct paucity on rebiopsy.","['cholestasis', 'cholestatic hepatitis', 'duct paucity']"
"METHODS: A patient who developed dramatic, permanent vision loss after a 9-month course of treatment with ethambutol and isoniazid for pulmonary tuberculosis is presented.","['vision loss', 'vision loss']"
"RESULTS: Ethambutol, and to a lesser extent isoniazid, are both implicated in the development of visually related side effects.","['development of visually related side effects', 'development of visually related side effects']"
There is documentation of ocular toxicity with ethambutol when administered at dosages generally pronounced as being safe.,['ocular toxicity']
Toxic optic neuropathy associated with ethambutol: implications for current therapy.,['Toxic optic neuropathy']
"Currently the use of zidovudine is one of the few specific measures available, and as a potentially teratogenic and fetotoxic agent, any decision for its use requires evaluation of the potential for fetal damage.","['fetal damage', 'fetotoxic', 'teratogenic']"
"In a series of 104 cases of intentional or inadvertent use of zidovudine at differing gestations in pregnancy, there were eight spontaneous first trimester abortions, eight therapeutic terminations, and eight cases of fetal abnormality occurring among a total of 88 cases where the pregnancy progressed.","['fetal abnormality', 'first trimester abortions']"
Zidovudine use in pregnancy: a report on 104 cases and the occurrence of birth defects.,['birth defects']
Celiprolol pneumonitis.,['pneumonitis']
"Inadvertent subsequent rechallenge with celiprolol led to recurrence of the pneumonitis, 10 weeks after drug readministration.",['pneumonitis']
"We report on a patient who developed hypersensitivity pneumonitis during treatment with the beta-blocker, celiprolol.",['hypersensitivity pneumonitis']
Ibopamine-induced reversible leukopenia during treatment for congestive heart failure.,['leukopenia']
Reversible leukopenia was documented in an 81-year-old woman treated with adjunctive ibopamine 100 mg t.i.d. for chronic congestive heart failure.,['Reversible leukopenia']
"A 53-year-old male, without any prior history of psychosis, developed schizophrenia 4 days after starting low-dose bromocriptine therapy for a macroprolactinoma.",['schizophrenia']
Bromocriptine-induced schizophrenia.,['schizophrenia']
Concurrent acute megaloblastic anaemia and pneumonitis: a severe side-effect of low-dose methotrexate therapy during rheumatoid arthritis.,"['Concurrent acute megaloblastic anaemia', 'pneumonitis']"
"In a patient suffering from rheumatoid arthritis, we report the first simultaneous occurrence of two side effects of low-dose methotrexate: an acute megaloblastic anaemia and a pneumonitis.","['acute megaloblastic anaemia', 'pneumonitis']"
"An 11-year-old boy who was treated with a relatively high dose of methotrimeprazine meleate (Levemepromazine) a phenothiazine antipsychotic drug, was admitted to the pediatric intensive care unit suffering from respiratory distress syndrome.","['respiratory distress syndrome', 'respiratory distress syndrome']"
The association of phenothiazine overdose and respiratory distress syndrome merits consideration.,['respiratory distress syndrome']
"In two patients, apomorphine remained effective in the morning, but increased the intensity of the dyskinesias in the afternoon.",['dyskinesias']
"We report on three observations of parkinsonian patients with levo-dopa-induced diphasic dyskinesias, who received subcutaneous apomorphine to reduce the duration of abnormal movements.",['diphasic dyskinesias']
Fulminant hepatitis with severe lactate acidosis in HIV-infected patients on didanosine therapy.,"['Fulminant hepatitis', 'severe lactate acidosis']"
This prompted us to suspect that ddI might be responsible for fulminant hepatitis in all three AIDS patients.,['fulminant hepatitis']
We report two cases of fulminant hepatic failure in HIV-1-infected patients treated with didanosine (ddI).,"['fulminant hepatic failure', 'fulminant hepatic failure']"
Generalized argyria after habitual use of AgNO3.,['Generalized argyria']
"A case of fluoxetine induced seizures, in a person with Down syndrome, is described.",['seizures']
Seizures associated with fluoxetine therapy are uncommon.,['Seizures']
Seizures associated with fluoxetine therapy.,['Seizures']
"Although fluoxetine-induced headache occurred in one patient, the other five reported no side effects at the doses used.",['headache']
"Sodium valproate and carbamazepine, antiepileptic drugs that are associated with a relatively low rate of adverse cutaneous reactions, should be added to the growing list of drugs that produce psoriasiform eruptions.","['psoriasiform eruptions', 'psoriasiform eruptions']"
We present findings from three patients who experienced a psoriasiform eruption apparently due to the antiepileptic agents sodium valproate and carbamazepine.,"['psoriasiform eruption', 'psoriasiform eruption']"
Severe diffuse interstitial pneumonitis induced by carmustine (BCNU).,"['Severe diffuse interstitial pneumonitis', 'Severe diffuse interstitial pneumonitis']"
We report a fatal case of acute interstitial pneumonitis in a patient treated with carmustine (BCNU) for a brain tumor.,"['fatal case of acute interstitial pneumonitis', 'fatal case of acute interstitial pneumonitis']"
A 78-year-old man with a transvenous cardioverter defibrillator system developed frequent shocks during oral procainamide therapy.,['shocks']
Electrical proarrhythmia with procainamide: a new ICD-drug interaction.,['Electrical proarrhythmia']
"The failure of therapy with disopyramide and mexiletine to reproduce this observation suggests either a previously unreported electrophysiologic effect of, or idiosyncratic response to, procainamide.",['electrophysiologic effect']
"Based on our experience and on previously published data, serum ammonia levels appear to be indicated in all ED patients on valproic acid therapy who present with altered mental status.",['altered mental status']
Hyperammonemia has been described as a complication of valproic acid therapy but may often be overlooked as a cause of lethargy in the postictal patient who presents to the emergency department.,"['Hyperammonemia', 'lethargy']"
Hyperammonemia secondary to valproic acid as a cause of lethargy in a postictal patient.,"['Hyperammonemia', 'lethargy']"
"We present the case of a postictal patient with lethargy, hyperammonemia, otherwise normal liver function tests, and a therapeutic valproic acid level.","['hyperammonemia', 'lethargy']"
Central nervous system toxicity associated with meperidine use in hepatic disease.,['Central nervous system toxicity']
"In patients with cirrhosis, the metabolism of meperidine is decreased, leading to accumulation of the parent drug and possible CNS depressive effects similar to hepatic encephalopathy.","['accumulation of the parent drug', 'CNS depressive effects']"
Meperidine-associated central nervous system (CNS) excitatory toxicities are believed to be caused by accumulation of the active metabolite normeperidine.,"['accumulation of the active metabolite normeperidine', 'central nervous system (CNS) excitatory toxicities']"
"She received an accidental 450-mg bolus injection of morphine intrathecally and developed hypertension, status epilepticus, intracerebral hemorrhage, and respiratory failure.","['hypertension', 'intracerebral hemorrhage', 'respiratory failure', 'status epilepticus']"
Mitomycin C (MMC) is an alkylating agent that has been recently associated with the hemolytic-uremic syndrome (HUS).,"['hemolytic-uremic syndrome', 'hemolytic-uremic syndrome', 'HUS', 'HUS']"
Pulmonary hemorrhage as a clinical manifestation of hemolytic-uremic syndrome associated with mitomycin C therapy.,"['hemolytic-uremic syndrome', 'Pulmonary hemorrhage']"
"Pulmonary hemorrhage is an uncommon feature in the HUS, and seems to appear especially in the HUS associated with MMC therapy.","['HUS', 'HUS', 'Pulmonary hemorrhage']"
We describe two women who developed HUS after MMC therapy and presented massive pulmonary bleeding.,"['HUS', 'massive pulmonary bleeding']"
Clonidine-induced bradycardia in patients with spinal cord injury.,['bradycardia']
"Possible mechanisms by which clonidine decreases spasticity are described, probable mechanisms of induced bradycardia are reviewed, and specific treatment recommendations for the use of clonidine in spinal cord injured patients are presented.","['bradycardia', 'bradycardia']"
"Though hypotension, dry mouth, and constipation are well-documented possible adverse effects, the possibility of clonidine-induced bradycardia is less well recognized and is rare.","['bradycardia', 'constipation', 'dry mouth', 'hypotension']"
"A high dose of cotrimoxazole induced hyperkalaemia with the elevation of serum creatinine and blood urea, and increased urinary N-acetyl glucosaminase after several days of the drug administration in these patients; one patient became unconscious.","['elevation of serum creatinine and blood urea', 'hyperkalaemia', 'increased urinary N-acetyl glucosaminase', 'one patient became unconscious']"
"Hyperkalaemia with renal tubular dysfunction by oral therapy of sulfamethoxazole-trimethoprim (co-trimoxazole) is described in 2 elderly Japanese patients with lymphoid malignancy, who developed Pneumocystis carinii pneumonia and improved.","['Hyperkalaemia', 'Hyperkalaemia', 'renal tubular dysfunction', 'renal tubular dysfunction']"
Hyperkalaemia with renal tubular dysfunction by sulfamethoxazole-trimethoprim for Pneumocystis carinii pneumonia in patients with lymphoid malignancy.,"['Hyperkalaemia', 'renal tubular dysfunction']"
Five cases (four from the literature and one new case) are presented in which patients unsuspected of having vitamin B12 deficiency developed subacute combined degeneration of the spinal cord following nitrous oxide anesthesia.,['subacute combined degeneration of the spinal cord']
Neurologic degeneration associated with nitrous oxide anesthesia in patients with vitamin B12 deficiency.,['Neurologic degeneration']
Patients with vitamin B12 deficiency are exceedingly sensitive to neurologic deterioration following nitrous oxide anesthesia.,['neurologic deterioration']
"BACKGROUND: Fluoxetine, a highly specific serotonin reuptake inhibitor, has been reported to cause sexual dysfunction in a minority of patients.",['sexual dysfunction']
Captopril-induced bone marrow suppression in two cardiac patients with trisomy 21.,['bone marrow suppression']
"Neutropenia is an infrequent complication following administration of the angiotensin-converting enzyme (ACE) inhibitor, captopril.",['Neutropenia']
We report two cases of neutropenia following captopril use in cardiac patients with trisomy 21.,['neutropenia']
Can magnesium sulfate therapy impact lactogenesis?,['lactogenesis']
"No explanation for this delay was found, other than the possibility that magnesium sulfate treatment impeded lactogenesis.",['impeded lactogenesis']
"Four days after the initial injection of 3.6 mg of goserelin acetate, severe dyspnea developed due to worsening pleuritis carcinomatosa, which was considered as a flare-up.","['flare-up', 'severe dyspnea', 'worsening pleuritis carcinomatosa']"
Imidazoline intoxication due to overdose or accidental ingestion but also after normal therapeutic usage is frequent in children.,['Imidazoline intoxication']
Imidazoline intoxication in children.,['Imidazoline intoxication']
Cerebrovascular complications of L-asparaginase therapy in children with leukemia: aphasia and other neuropsychological deficits.,"['aphasia', 'Cerebrovascular complications', 'neuropsychological deficits']"
"Children with acute lymphoblastic leukemia (ALL), treated with L-asparaginase are at risk for cerebral thrombosis or hemorrhage because of coagulation protein deficiencies.","['cerebral thrombosis', 'coagulation protein deficiencies', 'hemorrhage']"
Myoclonus and seizures disappeared after discontinuation of L-dopa and the introduction of valproate sodium (VPA).,"['Myoclonus', 'seizures']"
Myoclonus and seizures in a patient with parkinsonism: induction by levodopa and its confirmation on SEPs.,"['Myoclonus', 'seizures']"
"Myoclonus was induced and enhanced by L-dopa, developing into generalized seizures.","['generalized seizures', 'Myoclonus']"
We described the occurrence of L-dopa-induced myoclonus and seizures in a case of parkinsonism with its SEPs findings.,"['myoclonus', 'seizures']"
"Unintended exposure to acyclovir early in pregnancy, which is not uncommon, may cause excessive maternal and physician anxiety.",['excessive maternal and physician anxiety']
A severe form of exophthalmos resulting from lithium therapy has not been described in the literature.,['exophthalmos']
Lithium therapy was discontinued because of poor compliance to the medication and intolerable polyuria.,['polyuria']
Regression of thyrotoxic ophthalmopathy following lithium withdrawal.,['thyrotoxic ophthalmopathy']
The case of a bipolar patient who developed thyrotoxicosis with severe exophthalmos while on lithium therapy is described.,"['severe exophthalmos', 'thyrotoxicosis']"
The exophthalmos improved dramatically within 72 hours of the withdrawal of lithium.,['exophthalmos']
Severe abdominal pain in low dosage clofazimine.,['abdominal pain']
We describe a 41 yr old leprosy patient treated for 10 yrs with clofazimine who underwent laparotomy for severe abdominal pain.,['abdominal pain']
Amphotericin B overdose in pediatric patients with associated cardiac arrest.,['cardiac arrest']
CONCLUSIONS: Amphotericin B overdose can be fatal in children and infants.,['fatal']
Hydrocortisone may decrease the incidence of mortality associated with cardiac arrhythmias in children receiving amphotericin B overdoses.,"['cardiac arrhythmias', 'mortality']"
INTERVENTIONS AND RESULTS: Cardiac complications were observed in five pediatric patients who received between 4.6 and 40.8 mg/kg/d of amphotericin B.,['Cardiac complications']
OBJECTIVE: To report the first five cases of amphotericin B overdose with secondary cardiac complications in a pediatric population.,['cardiac complications']
Hypertension develops in most patients after transplantation when immunosuppression is based on cyclosporine and prednisone.,"['Hypertension', 'Hypertension']"
Hepatotoxic effects in a child receiving valproate and carnitine.,"['Hepatotoxic effects', 'Hepatotoxic effects']"
L-Carnitine supplementation has been recommended to prevent the fatal hepatotoxic effects associated with valproic acid.,['fatal hepatotoxic effects']
We report on a child with fatal valproate-related hepatotoxic effects despite this supplementation.,"['fatal', 'hepatotoxic effects']"
A case is reported of a 40 year old woman treated with intraventricular IL-2 for leptomeningeal disease who developed progressive cognitive dysfunction.,['cognitive dysfunction']
Delayed neurotoxicity of intraventricular interleukin-2: a case report.,['neurotoxicity']
The potential for progressive brain injury and subsequent disability related to intraventricular IL-2 therapy is discussed.,"['brain injury', 'disability']"
"Albeit rare among Western patients, such lithium-associated thyroid dysfunctions appeared to be more likely to occur in Hong Kong Chinese.",['thyroid dysfunctions']
Four Chinese female patients who suffered from manic-depressive disorder and underlying autoimmune thyroiditis developed transient episodes of thyrotoxicosis during maintenance lithium therapy.,['thyrotoxicosis']
Lithium-associated transient thyrotoxicosis in 4 Chinese women with autoimmune thyroiditis.,['transient thyrotoxicosis']
"They seemed to involve multiple aetiological factors, such as autoimmune thyroid disease, the toxic and immunomodulatory roles of lithium and perhaps genetic and dietary factors.",['toxic and immunomodulatory roles']
